id,original_review,label,sentiment,cleaned_review,summary,predicted_sentiment,feedback_on_plot,feedback_on_acting,feedback_on_cinematography,feedback_on_soundtrack,useful_feedback
9008700,걍인피니트가짱이다.진짜짱이다♥,1,positive,걍인피니트가짱이다.진짜짱이다♥,걍인피니트가짱이다.진짜짱이다♥,1 (0.966),걍인피니트가짱이다 / 관련도 점수: 0.515 | 진짜짱이다♥ / 관련도 점수: 0.652,진짜짱이다♥ / 관련도 점수: 0.66,걍인피니트가짱이다 / 관련도 점수: 0.88 | 진짜짱이다♥ / 관련도 점수: 0.439,,"이 리뷰는 plot, acting, cinematography에 대한 의견을 포함하며, 전체 감성은 1로 분석되었습니다. 핵심 의견: 걍인피니트가짱이다.진짜짱이다♥"
10217543,볼때마다 눈물나서 죽겠다90년대의 향수자극!!허진호는 감성절제멜로의 달인이다~,1,positive,볼때마다 눈물나서 죽겠다90년대의 향수자극!!허진호는 감성절제멜로의 달인이다~,볼때마다 눈물나서 죽겠다90년대의 향수자극!!허진호는 감성절제멜로의 달인이다~,1 (0.999),볼때마다 눈물나서 죽겠다90년대의 향수자극 / 관련도 점수: 0.709 | 허진호는 감성절제멜로의 달인이다~ / 관련도 점수: 0.795,허진호는 감성절제멜로의 달인이다~ / 관련도 점수: 0.495,볼때마다 눈물나서 죽겠다90년대의 향수자극 / 관련도 점수: 0.762 | 허진호는 감성절제멜로의 달인이다~ / 관련도 점수: 0.641,볼때마다 눈물나서 죽겠다90년대의 향수자극 / 관련도 점수: 0.641 | 허진호는 감성절제멜로의 달인이다~ / 관련도 점수: 0.717,"이 리뷰는 plot, acting, cinematography, soundtrack에 대한 의견을 포함하며, 전체 감성은 1로 분석되었습니다. 핵심 의견: 볼때마다 눈물나서 죽겠다90년대의 향수자극!!허진호는 감성절제멜로의 달인이다~"
5957425,울면서 손들고 횡단보도 건널때 뛰쳐나올뻔 이범수 연기 드럽게못해,0,negative,울면서 손들고 횡단보도 건널때 뛰쳐나올뻔 이범수 연기 드럽게못해,울면서 손들고 횡단보도 건널때 뛰쳐나올뻔 이범수 연기 드럽게못해,0 (0.991),울면서 손들고 횡단보도 건널때 뛰쳐나올뻔 이범수 연기 드럽게못해 / 관련도 점수: 0.828,울면서 손들고 횡단보도 건널때 뛰쳐나올뻔 이범수 연기 드럽게못해 / 관련도 점수: 0.973,울면서 손들고 횡단보도 건널때 뛰쳐나올뻔 이범수 연기 드럽게못해 / 관련도 점수: 0.894,울면서 손들고 횡단보도 건널때 뛰쳐나올뻔 이범수 연기 드럽게못해 / 관련도 점수: 0.434,"이 리뷰는 plot, acting, cinematography, soundtrack에 대한 의견을 포함하며, 전체 감성은 0로 분석되었습니다. 핵심 의견: 울면서 손들고 횡단보도 건널때 뛰쳐나올뻔 이범수 연기 드럽게못해"
8628627,담백하고 깔끔해서 좋다. 신문기사로만 보다 보면 자꾸 잊어버린다. 그들도 사람이었다는 것을.,1,positive,담백하고 깔끔해서 좋다. 신문기사로만 보다 보면 자꾸 잊어버린다. 그들도 사람이었다는 것을.,담백하고 깔끔해서 좋다. 신문기사로만 보다 보면 자꾸 잊어버린다. 그들도 사람이었다는 것을.,1 (0.999),,담백하고 깔끔해서 좋다 / 관련도 점수: 0.377 | 그들도 사람이었다는 것을 / 관련도 점수: 0.79,,담백하고 깔끔해서 좋다 / 관련도 점수: 0.359,"이 리뷰는 acting, soundtrack에 대한 의견을 포함하며, 전체 감성은 1로 분석되었습니다. 핵심 의견: 담백하고 깔끔해서 좋다. 신문기사로만 보다 보면 자꾸 잊어버린다. 그들도 사람이었다는 것을."
9864035,취향은 존중한다지만 진짜 내생에 극장에서 본 영화중 가장 노잼 노감동임 스토리도 어거지고 감동도 어거지,0,negative,취향은 존중한다지만 진짜 내생에 극장에서 본 영화중 가장 노잼 노감동임 스토리도 어거지고 감동도 어거지,취향은 존중한다지만 진짜 내생에 극장에서 본 영화중 가장 노잼 노감동임 스토리도 어거지고 감동도 어거지,0 (1.0),취향은 존중한다지만 진짜 내생에 극장에서 본 영화중 가장 노잼 노감동임 스토리도 어거지고 감동도 어거지 / 관련도 점수: 0.966,,취향은 존중한다지만 진짜 내생에 극장에서 본 영화중 가장 노잼 노감동임 스토리도 어거지고 감동도 어거지 / 관련도 점수: 0.849,,"이 리뷰는 plot, cinematography에 대한 의견을 포함하며, 전체 감성은 0로 분석되었습니다. 핵심 의견: 취향은 존중한다지만 진짜 내생에 극장에서 본 영화중 가장 노잼 노감동임 스토리도 어거지고 감동도 어거지"
6852435,ㄱ냥 매번 긴장되고 재밋음ㅠㅠ,1,positive,ㄱ냥 매번 긴장되고 재밋음ㅠㅠ,ㄱ냥 매번 긴장되고 재밋음ㅠㅠ,1 (0.999),,ㄱ냥 매번 긴장되고 재밋음ㅠㅠ / 관련도 점수: 0.734,,,"이 리뷰는 acting에 대한 의견을 포함하며, 전체 감성은 1로 분석되었습니다. 핵심 의견: ㄱ냥 매번 긴장되고 재밋음ㅠㅠ"
9143163,참 사람들 웃긴게 바스코가 이기면 락스코라고 까고바비가 이기면 아이돌이라고 깐다.그냥 까고싶어서 안달난것처럼 보인다,1,positive,참 사람들 웃긴게 바스코가 이기면 락스코라고 까고바비가 이기면 아이돌이라고 깐다.그냥 까고싶어서 안달난것처럼 보인다,참 사람들 웃긴게 바스코가 이기면 락스코라고 까고바비가 이기면 아이돌이라고 깐다.그냥 까고싶어서 안달난것처럼 보인다,1 (0.878),참 사람들 웃긴게 바스코가 이기면 락스코라고 까고바비가 이기면 아이돌이라고 깐다 / 관련도 점수: 0.744,참 사람들 웃긴게 바스코가 이기면 락스코라고 까고바비가 이기면 아이돌이라고 깐다 / 관련도 점수: 0.51,,참 사람들 웃긴게 바스코가 이기면 락스코라고 까고바비가 이기면 아이돌이라고 깐다 / 관련도 점수: 0.805,"이 리뷰는 plot, acting, soundtrack에 대한 의견을 포함하며, 전체 감성은 1로 분석되었습니다. 핵심 의견: 참 사람들 웃긴게 바스코가 이기면 락스코라고 까고바비가 이기면 아이돌이라고 깐다.그냥 까고싶어서 안달난것처럼 보인다"
4891476,굿바이 레닌 표절인것은 이해하는데 왜 뒤로 갈수록 재미없어지냐,0,negative,굿바이 레닌 표절인것은 이해하는데 왜 뒤로 갈수록 재미없어지냐,굿바이 레닌 표절인것은 이해하는데 왜 뒤로 갈수록 재미없어지냐,0 (1.0),굿바이 레닌 표절인것은 이해하는데 왜 뒤로 갈수록 재미없어지냐 / 관련도 점수: 0.937,굿바이 레닌 표절인것은 이해하는데 왜 뒤로 갈수록 재미없어지냐 / 관련도 점수: 0.944,,,"이 리뷰는 plot, acting에 대한 의견을 포함하며, 전체 감성은 0로 분석되었습니다. 핵심 의견: 굿바이 레닌 표절인것은 이해하는데 왜 뒤로 갈수록 재미없어지냐"
7465483,이건 정말 깨알 캐스팅과 질퍽하지않은 산뜻한 내용구성이 잘 버무러진 깨알일드!!♥,1,positive,이건 정말 깨알 캐스팅과 질퍽하지않은 산뜻한 내용구성이 잘 버무러진 깨알일드!!♥,이건 정말 깨알 캐스팅과 질퍽하지않은 산뜻한 내용구성이 잘 버무러진 깨알일드!!♥,1 (1.0),이건 정말 깨알 캐스팅과 질퍽하지않은 산뜻한 내용구성이 잘 버무러진 깨알일드 / 관련도 점수: 0.996 | ♥ / 관련도 점수: 0.44,이건 정말 깨알 캐스팅과 질퍽하지않은 산뜻한 내용구성이 잘 버무러진 깨알일드 / 관련도 점수: 0.511,이건 정말 깨알 캐스팅과 질퍽하지않은 산뜻한 내용구성이 잘 버무러진 깨알일드 / 관련도 점수: 0.992,이건 정말 깨알 캐스팅과 질퍽하지않은 산뜻한 내용구성이 잘 버무러진 깨알일드 / 관련도 점수: 0.885,"이 리뷰는 plot, acting, cinematography, soundtrack에 대한 의견을 포함하며, 전체 감성은 1로 분석되었습니다. 핵심 의견: 이건 정말 깨알 캐스팅과 질퍽하지않은 산뜻한 내용구성이 잘 버무러진 깨알일드!!♥"
3989148,"약탈자를 위한 변명, 이라. 저놈들은 착한놈들 절대 아닌걸요.",1,positive,"약탈자를 위한 변명, 이라. 저놈들은 착한놈들 절대 아닌걸요.","약탈자를 위한 변명, 이라. 저놈들은 착한놈들 절대 아닌걸요.",1 (0.996),약탈자를 위한 변명 / 관련도 점수: 0.925 | 이라 / 관련도 점수: 0.437 | 저놈들은 착한놈들 절대 아닌걸요 / 관련도 점수: 0.897,이라 / 관련도 점수: 0.358 | 저놈들은 착한놈들 절대 아닌걸요 / 관련도 점수: 0.732,저놈들은 착한놈들 절대 아닌걸요 / 관련도 점수: 0.574,저놈들은 착한놈들 절대 아닌걸요 / 관련도 점수: 0.587,"이 리뷰는 plot, acting, cinematography, soundtrack에 대한 의견을 포함하며, 전체 감성은 1로 분석되었습니다. 핵심 의견: 약탈자를 위한 변명, 이라. 저놈들은 착한놈들 절대 아닌걸요."
4581211,나름 심오한 뜻도 있는 듯. 그냥 학생이 선생과 놀아나는 영화는 절대 아님,1,positive,나름 심오한 뜻도 있는 듯. 그냥 학생이 선생과 놀아나는 영화는 절대 아님,나름 심오한 뜻도 있는 듯. 그냥 학생이 선생과 놀아나는 영화는 절대 아님,1 (0.997),나름 심오한 뜻도 있는 듯 / 관련도 점수: 0.48 | 그냥 학생이 선생과 놀아나는 영화는 절대 아님 / 관련도 점수: 0.963,그냥 학생이 선생과 놀아나는 영화는 절대 아님 / 관련도 점수: 0.89,그냥 학생이 선생과 놀아나는 영화는 절대 아님 / 관련도 점수: 0.962,,"이 리뷰는 plot, acting, cinematography에 대한 의견을 포함하며, 전체 감성은 1로 분석되었습니다. 핵심 의견: 나름 심오한 뜻도 있는 듯. 그냥 학생이 선생과 놀아나는 영화는 절대 아님"
2718894,보면서 웃지 않는 건 불가능하다,1,positive,보면서 웃지 않는 건 불가능하다,보면서 웃지 않는 건 불가능하다,1 (0.984),,보면서 웃지 않는 건 불가능하다 / 관련도 점수: 0.625,보면서 웃지 않는 건 불가능하다 / 관련도 점수: 0.715,,"이 리뷰는 acting, cinematography에 대한 의견을 포함하며, 전체 감성은 1로 분석되었습니다. 핵심 의견: 보면서 웃지 않는 건 불가능하다"
9705777,"재미없다 지루하고. 같은 음식 영화인데도 바베트의 만찬하고 넘 차이남....바베트의 만찬은 이야기도 있고 음식 보는재미도 있는데 ; 이건 볼게없다 음식도 별로 안나오고, 핀란드 풍경이라도 구경할랫는데 그것도 별로 안나옴 ㅡㅡ",0,negative,"재미없다 지루하고. 같은 음식 영화인데도 바베트의 만찬하고 넘 차이남....바베트의 만찬은 이야기도 있고 음식 보는재미도 있는데 ; 이건 볼게없다 음식도 별로 안나오고, 핀란드 풍경이라도 구경할랫는데 그것도 별로 안나옴 ㅡㅡ","재미없다 지루하고. 같은 음식 영화인데도 바베트의 만찬하고 넘 차이남....바베트의 만찬은 이야기도 있고 음식 보는재미도 있는데 ; 이건 볼게없다 음식도 별로 안나오고, 핀란드 풍경이라도 구경할랫는데 그것도 별로 안나옴 ㅡㅡ",0 (1.0),같은 음식 영화인데도 바베트의 만찬하고 넘 차이남 / 관련도 점수: 0.842,,재미없다 지루하고 / 관련도 점수: 0.471 | 같은 음식 영화인데도 바베트의 만찬하고 넘 차이남 / 관련도 점수: 0.981,,"이 리뷰는 plot, cinematography에 대한 의견을 포함하며, 전체 감성은 0로 분석되었습니다. 핵심 의견: 재미없다 지루하고. 같은 음식 영화인데도 바베트의 만찬하고 넘 차이남....바베트의 만찬은 이야기도 있고 음식 보는재미도 있는데 ; 이건 볼게없다 음식도 별로 안나오고, 핀란드 풍경이라도 구경할랫는데 그것도 별로 안나옴 ㅡㅡ"
471131,절대 평범한 영화가 아닌 수작이라는걸 말씀드립니다.,1,positive,절대 평범한 영화가 아닌 수작이라는걸 말씀드립니다.,절대 평범한 영화가 아닌 수작이라는걸 말씀드립니다.,1 (0.999),절대 평범한 영화가 아닌 수작이라는걸 말씀드립니다 / 관련도 점수: 0.761,절대 평범한 영화가 아닌 수작이라는걸 말씀드립니다 / 관련도 점수: 0.398,절대 평범한 영화가 아닌 수작이라는걸 말씀드립니다 / 관련도 점수: 0.905,,"이 리뷰는 plot, acting, cinematography에 대한 의견을 포함하며, 전체 감성은 1로 분석되었습니다. 핵심 의견: 절대 평범한 영화가 아닌 수작이라는걸 말씀드립니다."
8480268,주제는 좋은데 중반부터 지루하다,0,negative,주제는 좋은데 중반부터 지루하다,주제는 좋은데 중반부터 지루하다,0 (0.999),,,,,"이 리뷰는 특정 영화 요소가 뚜렷하게 감지되지 않음에 대한 의견을 포함하며, 전체 감성은 0로 분석되었습니다. 핵심 의견: 주제는 좋은데 중반부터 지루하다"
4254115,다 짤랐을꺼야. 그래서 납득할 수 없었던거야.. 그럴꺼야.. 꼭 그랬던걸꺼야..,0,negative,다 짤랐을꺼야. 그래서 납득할 수 없었던거야.. 그럴꺼야.. 꼭 그랬던걸꺼야..,다 짤랐을꺼야. 그래서 납득할 수 없었던거야.. 그럴꺼야.. 꼭 그랬던걸꺼야..,0 (0.995),다 짤랐을꺼야 / 관련도 점수: 0.7 | 그래서 납득할 수 없었던거야 / 관련도 점수: 0.389 | 그럴꺼야 / 관련도 점수: 0.439 | 꼭 그랬던걸꺼야 / 관련도 점수: 0.483,다 짤랐을꺼야 / 관련도 점수: 0.399 | 그럴꺼야 / 관련도 점수: 0.664 | 꼭 그랬던걸꺼야 / 관련도 점수: 0.763,다 짤랐을꺼야 / 관련도 점수: 0.486 | 그래서 납득할 수 없었던거야 / 관련도 점수: 0.421 | 그럴꺼야 / 관련도 점수: 0.446 | 꼭 그랬던걸꺼야 / 관련도 점수: 0.501,다 짤랐을꺼야 / 관련도 점수: 0.722,"이 리뷰는 plot, acting, cinematography, soundtrack에 대한 의견을 포함하며, 전체 감성은 0로 분석되었습니다. 핵심 의견: 다 짤랐을꺼야. 그래서 납득할 수 없었던거야.. 그럴꺼야.. 꼭 그랬던걸꺼야.."
7295746,kl2g 고추를 털어버려야 할텐데,1,positive,kl2g 고추를 털어버려야 할텐데,kl2g 고추를 털어버려야 할텐데,1 (0.963),kl2g 고추를 털어버려야 할텐데 / 관련도 점수: 0.555,kl2g 고추를 털어버려야 할텐데 / 관련도 점수: 0.853,,,"이 리뷰는 plot, acting에 대한 의견을 포함하며, 전체 감성은 1로 분석되었습니다. 핵심 의견: kl2g 고추를 털어버려야 할텐데"
5457633,카밀라벨 발연기,0,negative,카밀라벨 발연기,카밀라벨 발연기,0 (0.999),카밀라벨 발연기 / 관련도 점수: 0.61,카밀라벨 발연기 / 관련도 점수: 0.361,카밀라벨 발연기 / 관련도 점수: 0.857,,"이 리뷰는 plot, acting, cinematography에 대한 의견을 포함하며, 전체 감성은 0로 분석되었습니다. 핵심 의견: 카밀라벨 발연기"
6091784,재밋는뎅,1,positive,재밋는뎅,재밋는뎅,1 (0.983),재밋는뎅 / 관련도 점수: 0.391,재밋는뎅 / 관련도 점수: 0.757,,재밋는뎅 / 관련도 점수: 0.378,"이 리뷰는 plot, acting, soundtrack에 대한 의견을 포함하며, 전체 감성은 1로 분석되었습니다. 핵심 의견: 재밋는뎅"
8322926,센스있는 연출력..탁월한 캐스팅..90년대의 향수.. 그래서 9점..,1,positive,센스있는 연출력..탁월한 캐스팅..90년대의 향수.. 그래서 9점..,센스있는 연출력..탁월한 캐스팅..90년대의 향수.. 그래서 9점..,1 (0.999),센스있는 연출력 / 관련도 점수: 0.455 | 탁월한 캐스팅 / 관련도 점수: 0.461 | 90년대의 향수 / 관련도 점수: 0.747 | 그래서 9점 / 관련도 점수: 0.422,탁월한 캐스팅 / 관련도 점수: 0.87 | 그래서 9점 / 관련도 점수: 0.355,센스있는 연출력 / 관련도 점수: 0.944 | 탁월한 캐스팅 / 관련도 점수: 0.964,90년대의 향수 / 관련도 점수: 0.802,"이 리뷰는 plot, acting, cinematography, soundtrack에 대한 의견을 포함하며, 전체 감성은 1로 분석되었습니다. 핵심 의견: 센스있는 연출력..탁월한 캐스팅..90년대의 향수.. 그래서 9점.."
6331922,엄포스의 위력을 다시 한번 깨닫게 해준 적.남 꽃검사님도 연기 정말 좋았어요! 완전 명품드라마!,1,positive,엄포스의 위력을 다시 한번 깨닫게 해준 적.남 꽃검사님도 연기 정말 좋았어요! 완전 명품드라마!,엄포스의 위력을 다시 한번 깨닫게 해준 적.남 꽃검사님도 연기 정말 좋았어요! 완전 명품드라마!,1 (0.999),엄포스의 위력을 다시 한번 깨닫게 해준 적 / 관련도 점수: 0.62 | 남 꽃검사님도 연기 정말 좋았어요 / 관련도 점수: 0.986 | 완전 명품드라마 / 관련도 점수: 0.868,엄포스의 위력을 다시 한번 깨닫게 해준 적 / 관련도 점수: 0.512 | 남 꽃검사님도 연기 정말 좋았어요 / 관련도 점수: 0.999,남 꽃검사님도 연기 정말 좋았어요 / 관련도 점수: 0.998,,"이 리뷰는 plot, acting, cinematography에 대한 의견을 포함하며, 전체 감성은 1로 분석되었습니다. 핵심 의견: 엄포스의 위력을 다시 한번 깨닫게 해준 적.남 꽃검사님도 연기 정말 좋았어요! 완전 명품드라마!"
9005897,졸쓰레기 진부하고말도안됌ㅋㅋ 아..시간아까워,0,negative,졸쓰레기 진부하고말도안됌 아..시간아까워,졸쓰레기 진부하고말도안됌 아..시간아까워,0 (0.999),졸쓰레기 진부하고말도안됌 아 / 관련도 점수: 0.489 | 시간아까워 / 관련도 점수: 0.374,,,,"이 리뷰는 plot에 대한 의견을 포함하며, 전체 감성은 0로 분석되었습니다. 핵심 의견: 졸쓰레기 진부하고말도안됌 아..시간아까워"
164908,재밌는데 별점이 왜이리 낮은고,1,positive,재밌는데 별점이 왜이리 낮은고,재밌는데 별점이 왜이리 낮은고,1 (0.998),,,,,"이 리뷰는 특정 영화 요소가 뚜렷하게 감지되지 않음에 대한 의견을 포함하며, 전체 감성은 1로 분석되었습니다. 핵심 의견: 재밌는데 별점이 왜이리 낮은고"
9671124,1%라도 기대했던 내가 죄인입니다 죄인입니다....,0,negative,1%라도 기대했던 내가 죄인입니다 죄인입니다....,1%라도 기대했던 내가 죄인입니다 죄인입니다....,0 (0.988),1%라도 기대했던 내가 죄인입니다 죄인입니다 / 관련도 점수: 0.493,,,,"이 리뷰는 plot에 대한 의견을 포함하며, 전체 감성은 0로 분석되었습니다. 핵심 의견: 1%라도 기대했던 내가 죄인입니다 죄인입니다...."
5712231,아직도 이 드라마는 내인생의 최고!,1,positive,아직도 이 드라마는 내인생의 최고!,아직도 이 드라마는 내인생의 최고!,1 (0.999),아직도 이 드라마는 내인생의 최고 / 관련도 점수: 0.992,아직도 이 드라마는 내인생의 최고 / 관련도 점수: 0.898,,,"이 리뷰는 plot, acting에 대한 의견을 포함하며, 전체 감성은 1로 분석되었습니다. 핵심 의견: 아직도 이 드라마는 내인생의 최고!"
4726746,패션에 대한 열정! 안나 윈투어!,1,positive,패션에 대한 열정! 안나 윈투어!,패션에 대한 열정! 안나 윈투어!,1 (0.999),,안나 윈투어 / 관련도 점수: 0.353,,,"이 리뷰는 acting에 대한 의견을 포함하며, 전체 감성은 1로 분석되었습니다. 핵심 의견: 패션에 대한 열정! 안나 윈투어!"
